predict_price,real_price
8.4158,0.9
7.7375,0.8
7.9399,0.9
7.7077,0.9
7.6864,0.8
7.1368,0.9
7.2715,0.7
7.0841,0.7
7.3201,0.9
7.1231,1.2
6.8253,1.1
6.9981,0.9
6.992,0.9
6.5551,0.7
7.1618,5.9
6.5178,10.0
6.9764,14.0
6.7987,14.0
7.0876,14.4
6.4375,14.0
7.3777,14.4
6.8924,14.0
6.8552,14.4
5.7042,16.8
6.1808,16.3
6.2034,17.7
6.6305,17.8
5.5426,17.9
6.4066,19.5
7.2378,23.6
7.3201,23.7
6.5329,23.6
8.4002,23.6
8.007,23.7
7.4528,23.6
6.404,23.7
7.7341,23.8
7.941,23.9
8.4623,23.8
7.1979,23.9
8.0812,23.8
7.7084,23.8
7.4424,24.6
7.0877,25.0
8.813,25.0
8.6404,20.0
8.2194,19.6
6.6726,16.0
7.9176,17.3
8.7264,20.5
9.5103,17.4
7.615,18.5
8.7301,18.6
8.0106,20.8
8.3066,18.6
6.9204,18.7
7.7225,17.3
8.1685,17.8
8.0403,19.3
6.4817,17.6
7.6265,13.9
8.3201,18.1
8.5971,16.4
6.8603,18.1
8.2879,16.5
7.4713,16.4
7.5072,17.7
6.6404,17.3
7.8118,17.8
7.2948,18.2
7.3772,18.8
7.3633,19.8
8.2884,18.2
8.0321,17.5
7.8773,17.0
7.2216,17.0
9.1585,16.6
7.1822,12.4
6.719,12.0
6.8642,10.7
9.0834,13.9
7.4331,10.7
7.4898,9.5
6.9923,9.6
8.5381,7.2
7.5839,7.1
7.9112,7.0
6.2822,7.0
7.6045,6.5
6.5176,5.0
6.7217,5.0
6.3074,5.2
7.5911,4.6
7.2737,7.2
7.4391,8.9
6.1249,4.7
7.5693,4.7
6.6815,3.6
7.2822,4.6
4.6016,3.6
5.5691,2.7
5.4043,2.9
5.677,3.9
4.9315,3.9
5.7231,3.9
5.0762,3.7
5.175,4.0
4.7598,4.4
5.467,3.7
4.9016,2.9
5.0971,2.9
3.466,4.6
3.6822,7.9
4.046,3.1
4.3276,7.4
3.695,7.5
3.3104,7.9
3.5052,3.1
3.5866,7.2
2.7777,3.1
2.9489,3.0
3.5444,2.9
3.6369,2.2
2.2886,0.3
2.3999,0.2
3.3338,7.2
3.208,7.6
2.3753,7.9
2.7598,8.1
1.984,3.3
2.6554,0.3
2.8659,0.2
3.1493,0.1
3.2166,7.9
2.796,8.5
2.9885,13.2
2.945,15.0
2.6312,15.0
2.0922,16.0
2.7007,16.3
2.8916,17.9
1.6892,20.1
2.1827,21.1
3.904,27.6
3.8765,23.6
3.2367,26.9
2.8744,23.9
4.2647,23.7
4.3912,23.7
3.9164,23.7
3.2864,23.7
3.7559,23.7
4.1351,23.8
3.6995,22.0
3.7948,25.0
4.8322,26.8
5.4024,27.1
5.0688,31.0
4.3618,31.2
4.9905,32.0
5.3008,28.7
5.0657,26.5
5.3546,22.0
5.3067,24.0
5.3961,25.0
5.1185,25.3
4.918,22.8
5.4098,26.3
6.561,26.8
5.9481,22.9
4.7656,22.8
5.2564,21.5
5.8547,21.3
4.8075,21.0
4.7833,20.9
4.7436,20.9
5.3989,23.9
4.4185,24.1
4.8976,23.9
5.2881,25.0
6.7459,24.8
5.4725,25.0
4.0925,24.9
4.617,24.9
5.1451,24.9
3.7127,21.9
3.4205,20.1
4.4537,19.8
5.0483,15.9
3.4558,15.8
3.2922,15.0
4.1628,11.2
5.4213,10.2
3.1219,9.0
2.3737,6.0
3.4901,5.0
3.8677,4.2
2.786,25.2
2.345,25.1
3.1446,11.3
3.5951,11.2
2.2529,9.7
2.1024,9.7
3.1624,9.6
2.9052,6.9
2.389,6.8
1.4264,4.3
2.542,1.1
2.6464,12.7
1.8191,13.3
1.7377,3.1
2.7079,14.2
2.211,3.0
2.3034,4.0
2.7131,4.4
2.4621,4.9
2.9515,5.0
3.1337,5.2
3.6705,11.5
3.2144,5.1
3.5219,5.0
2.932,14.0
3.9132,5.0
3.058,14.0
3.1993,14.2
2.7149,19.3
3.7307,21.7
2.6797,17.8
2.5082,10.2
3.0968,10.5
3.4979,12.1
2.6572,12.0
2.3433,20.1
3.662,12.0
4.0464,12.0
3.2121,12.4
2.9995,15.2
3.6969,13.0
4.2842,14.0
3.3417,15.0
2.5051,13.0
3.9197,12.6
3.5722,16.8
3.7087,14.5
3.1846,13.8
4.2641,16.9
4.1378,17.2
4.1039,17.6
3.4769,17.7
4.8775,19.0
4.8189,22.7
4.3481,17.7
3.0771,22.6
4.7822,17.9
4.5601,17.7
4.7314,17.5
3.6313,14.7
5.7323,13.7
5.6467,13.0
5.5996,12.7
4.7305,12.2
6.6417,10.7
6.6378,19.8
6.2597,22.5
5.1129,19.8
6.2035,10.7
5.8384,10.7
5.8769,10.7
4.5884,9.7
6.2175,8.7
6.234,7.7
6.0418,7.7
5.0121,7.2
6.7759,5.9
6.9529,5.3
7.3849,5.5
6.1473,2.0
5.9183,1.0
5.4555,0.5
6.1597,0.3
5.6153,10.6
5.562,10.1
5.6758,10.1
5.7557,10.6
5.3033,7.6
6.5423,0.3
6.3481,10.6
6.4537,0.3
6.6151,1.1
6.1568,1.1
6.2484,1.3
6.3588,2.3
5.7018,2.3
5.8007,2.4
6.4826,12.5
6.5506,2.3
5.9808,2.4
6.0315,2.3
6.7991,2.4
6.4769,2.3
5.7369,2.4
5.3144,2.3
5.1713,2.3
4.4254,12.1
3.9946,2.3
4.6037,2.3
4.8762,2.0
4.8326,2.3
4.8911,2.0
4.9731,2.0
5.2734,2.3
5.7153,2.0
6.1277,2.0
4.8373,2.0
4.7306,2.1
3.9903,2.0
4.5318,2.0
3.7768,2.1
4.0039,2.0
4.3263,1.2
5.0233,1.2
3.9304,1.0
4.1797,0.0
4.2257,2.0
4.2986,2.1
3.9542,0.0
3.8932,2.1
4.4113,0.0
3.6842,0.0
4.3021,0.0
4.2198,1.2
4.5242,3.8
4.1031,2.0
4.8431,2.0
4.6692,3.1
4.3686,2.0
4.0943,3.0
4.7414,2.0
5.0159,3.1
4.9093,2.0
4.8025,3.8
5.677,7.0
5.0342,7.1
5.5843,9.1
4.8674,9.5
6.2147,10.9
5.6665,10.0
5.2836,10.0
4.3249,10.0
5.3823,10.7
4.9116,10.0
5.4286,10.0
4.6551,13.0
5.8957,16.0
5.1972,16.8
5.7493,18.6
4.8435,18.7
5.7114,18.0
4.8568,18.0
4.6052,18.0
5.5048,18.6
4.5691,20.0
3.7479,21.0
3.9897,21.0
3.4171,23.0
3.6827,21.0
4.0515,21.0
4.1652,21.0
3.8043,21.0
3.5565,21.0
3.2386,21.0
3.6588,20.3
4.1544,16.3
3.4854,17.9
2.5001,17.1
2.609,18.5
2.7213,19.0
2.8964,26.3
2.7319,26.2
2.5969,24.6
4.0354,19.0
3.3502,24.5
3.8081,19.0
4.3745,23.4
5.2684,24.0
4.7377,23.2
4.3482,22.0
5.5196,22.0
6.9198,23.3
5.8572,22.0
5.7868,22.0
6.0855,22.0
7.0239,20.0
5.3607,17.0
5.64,22.0
6.2986,23.2
7.5123,25.9
5.6331,30.3
6.2975,24.2
7.4265,27.0
7.9159,29.8
7.0914,29.6
6.059,27.0
6.4926,26.7
8.4562,25.0
6.571,24.9
7.2374,22.0
7.6018,21.0
7.5123,27.0
6.4134,26.7
6.3649,25.0
7.2273,24.9
6.8841,22.0
6.5063,21.0
6.3617,13.6
6.8567,10.0
6.9926,21.0
7.0725,20.0
6.7186,16.4
6.6815,13.7
7.2356,10.0
6.9799,29.6
6.804,10.0
7.5038,13.7
6.6936,10.0
7.0579,8.0
7.3626,6.8
7.5337,6.1
7.336,7.4
7.4199,5.8
8.2321,4.1
7.8299,4.1
8.0844,21.1
7.6382,21.1
9.077,4.1
8.8863,31.0
8.1855,4.1
8.9914,4.1
13.1634,23.9
10.3489,4.1
12.2378,4.1
11.9103,4.1
16.4417,21.2
14.9895,23.7
14.0707,29.0
13.3494,29.4
12.2576,31.2
11.4925,31.7
10.9583,31.8
12.3846,33.9
14.131,34.1
13.567,37.2
13.0013,37.8
13.226,10.1
14.063,11.6
13.1835,12.8
12.6103,32.4
12.0243,42.9
12.8514,16.6
12.0814,13.8
11.1038,14.1
12.5794,14.9
15.4563,44.1
12.6445,20.1
